iter	Passed	Remaining
400	21768	59658
401	21818	59592
402	21875	59547
403	21930	59495
404	21984	59438
405	22034	59374
406	22091	59327
407	22142	59264
408	22200	59218
409	22257	59171
410	22312	59120
411	22368	59070
412	22425	59022
413	22477	58962
414	22532	58909
415	22588	58861
416	22646	58815
417	22695	58747
418	22748	58688
419	22796	58619
420	22853	58571
421	22907	58516
422	22959	58457
423	23010	58394
424	23067	58347
425	23121	58291
426	23170	58224
427	23224	58169
428	23278	58116
429	23333	58062
430	23384	57999
431	23439	57946
432	23493	57893
433	23548	57839
434	23600	57780
435	23654	57725
436	23707	57669
437	23763	57617
438	23814	57557
439	23866	57497
440	23924	57450
441	23979	57398
442	24035	57347
443	24086	57286
444	24143	57239
445	24197	57184
446	24252	57132
447	24310	57086
448	24361	57024
449	24413	56965
450	24470	56915
451	24524	56863
452	24581	56814
453	24636	56762
454	24690	56706
455	24746	56656
456	24799	56600
457	24851	56538
458	24905	56484
459	24961	56435
460	25015	56379
461	25069	56325
462	25124	56272
463	25178	56218
464	25233	56164
465	25286	56107
466	25340	56052
467	25395	56000
468	25449	55944
469	25501	55886
470	25555	55831
471	25609	55777
472	25661	55716
473	25716	55664
474	25768	55606
475	25824	55555
476	25877	55498
477	25936	55454
478	25992	55404
479	26049	55355
480	26108	55310
481	26160	55252
482	26212	55192
483	26269	55143
484	26322	55088
485	26377	55035
486	26430	54976
487	26483	54920
488	26532	54856
489	26589	54807
490	26646	54758
491	26699	54700
492	26756	54653
493	26810	54598
494	26867	54548
495	26921	54493
496	26974	54437
497	27026	54378
498	27080	54324
499	27137	54275
500	27191	54220
501	27247	54168
502	27302	54115
503	27355	54059
504	27407	54000
505	27459	53941
506	27516	53893
507	27567	53832
508	27619	53773
509	27677	53727
510	27734	53678
511	27788	53622
512	27843	53570
513	27896	53513
514	27945	53448
515	28002	53399
516	28056	53345
517	28112	53294
518	28170	53246
519	28221	53187
520	28275	53131
521	28328	53075
522	28386	53028
523	28441	52974
524	28494	52918
525	28544	52856
526	28598	52801
527	28652	52746
528	28704	52688
529	28755	52628
530	28813	52581
531	28867	52525
532	28923	52474
533	28975	52416
534	29031	52364
535	29086	52313
536	29140	52258
537	29195	52205
538	29246	52145
539	29300	52089
540	29355	52037
541	29408	51979
542	29460	51921
543	29515	51868
544	29567	51810
545	29623	51759
546	29679	51708
547	29734	51654
548	29788	51600
549	29846	51552
550	29902	51501
551	29957	51448
552	30010	51392
553	30065	51339
554	30120	51285
555	30176	51235
556	30233	51185
557	30287	51129
558	30340	51073
559	30397	51024
560	30451	50970
561	30506	50917
562	30559	50859
563	30610	50800
564	30667	50750
565	30725	50702
566	30779	50648
567	30837	50599
568	30888	50539
569	30942	50485
570	30996	50431
571	31051	50377
572	31108	50326
573	31159	50267
574	31215	50216
575	31268	50160
576	31323	50106
577	31375	50048
578	31436	50005
579	31489	49949
580	31543	49893
581	31598	49840
582	31650	49783
583	31705	49729
584	31760	49676
585	31811	49617
586	31866	49564
587	31923	49513
588	31979	49461
589	32034	49409
590	32086	49351
591	32140	49296
592	32195	49243
593	32248	49186
594	32303	49134
595	32356	49076
596	32410	49023
597	32464	48967
598	32519	48914
599	32573	48860
600	32630	48809
601	32688	48760
602	32747	48714
603	32800	48657
604	32852	48600
605	32903	48540
606	32957	48486
607	33010	48430
608	33066	48377
609	33121	48324
610	33174	48268
611	33228	48214
612	33284	48161
613	33337	48105
614	33394	48055
615	33448	48001
616	33505	47950
617	33562	47900
618	33616	47844
619	33672	47793
620	33727	47740
621	33782	47686
622	33837	47633
623	33893	47581
624	33946	47525
625	33997	47466
626	34054	47415
627	34104	47355
628	34158	47300
629	34211	47244
630	34262	47186
631	34319	47134
632	34373	47079
633	34426	47024
634	34482	46972
635	34538	46920
636	34590	46862
637	34644	46808
638	34698	46753
639	34756	46704
640	34809	46647
641	34867	46598
642	34924	46547
643	34982	46498
644	35040	46449
645	35094	46394
646	35148	46339
647	35204	46286
648	35257	46230
649	35308	46172
650	35362	46117
651	35418	46066
652	35474	46013
653	35525	45954
654	35578	45899
655	35633	45844
656	35686	45789
657	35740	45734
658	35792	45677
659	35847	45624
660	35902	45570
661	35958	45518
662	36009	45459
663	36065	45407
664	36119	45353
